,artist_uri,artist
285,spotify:artist:6rmNdcuNwzokE2TQaI0ubr,Girls in Airports
286,spotify:artist:6b13SQkJSBYJxUoG8TaDcY,Glue Trip
287,spotify:artist:7vCJSBATlld5vDKTH87tpG,Revolting Cocks
288,spotify:artist:5Mzt74UqWVWenVEPbgWySH,Khimera
289,spotify:artist:3l14gV4hIMAjmo7KUvEWTx,Elastica
290,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,The Clash
291,spotify:artist:7IiSLreTg1of8dDwxwiPw3,Chef'Special
292,spotify:artist:4doI7TR51c6DTaveTwpIkg,Emilie-Claire Barlow
293,spotify:artist:0g0yio8Ug2XEl9QOOIjjh4,The Brave Little Abacus
294,spotify:artist:7jZycSvTyx0W9poD4PjEIG,The Hunna
295,spotify:artist:6G5wDM1Vmsscql7qRtcLH0,French Horn Rebellion
296,spotify:artist:3kh7OT3AyegtCXdU9duw9b,Fides Inversa
297,spotify:artist:42ccKlw9sHnNr29o6gqnsv,The Daktaris
298,spotify:artist:3Tkd4ophELAmJUzpCOIeJt,Scorpion Wind
299,spotify:artist:1grI9x4Uzos1Asx8JmRW6T,Lil Keke
300,spotify:artist:4wBhllC5Nto10UefzXVMt9,Omni
301,spotify:artist:2pst3pDewxsl4kJERuDZpp,Overcoats
302,spotify:artist:5iRM7qYip6UNfQaPe2reCz,Barney Artist
303,spotify:artist:40giwFcTQtv9ezxW8yqxJU,Chiddy Bang
304,spotify:artist:0AlSCoM1Ii2wfKNX4HEtwl,Michelle Heafy
305,spotify:artist:1jilau5qTNCuJlWaA7t4x8,Cadillac Sky
306,spotify:artist:3qYfqdVwX0fil71onLpLkh,Thee Oh Sees
307,spotify:artist:0ihBDeJlIlXo4LFfAllsGm,The Sea and Cake
308,spotify:artist:6sd3qv6kReAdo6WsLBtXX4,Laraaji
309,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
310,spotify:artist:17vIaBTHJOVxnU4v7t1DiY,1910 Fruitgum Company
311,spotify:artist:3lHXm91pKLq9Sxi6CoRKWu,Roger Hodgson
312,spotify:artist:3q6niISy491vVKvl8SguX2,Kick Bong
313,spotify:artist:31DXlldabwPHwu6dYevuzK,Simian Mobile Disco
314,spotify:artist:1ijndNymsX4qs4TmdctKGp,Dave Harrington Group
315,spotify:artist:4X3dUbGsTpVH6EbxtWnj6T,Taylor Deupree
316,spotify:artist:0w1RQjkLFHpokbFNikYbPN,Talaboman
